tblkey,Module,moduletitle,userkey,program,staffid,staff,explaining,interesting,overall,Comments,year,semester,N
3724,PSYC005,redacted,10492,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,5,,2017,1,838
3738,PSYC005,redacted,10657,BSc (Hons) Psychology Stage 1,redacted,person 096,2,2,2,,2017,1,838
3752,PSYC005,redacted,10637,BSc (Hons) Psychology Stage 1,redacted,person 096,3,4,4,,2017,1,838
3785,PSYC005,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
3849,PSYC005,redacted,10737,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,3,,2017,1,838
3861,PSYC005,redacted,10590,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
3885,PSYC005,redacted,10427,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
3928,PSYC005,redacted,10656,BSc (Hons) Psychology Stage 1,redacted,person 096,4,3,4,,2017,1,838
3953,PSYC005,redacted,10488,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
3985,PSYC005,redacted,10800,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4023,PSYC005,redacted,10562,MPsych Advanced Psychology,redacted,person 096,5,5,5,,2017,1,838
4068,PSYC005,redacted,10500,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
4094,PSYC005,redacted,10504,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4106,PSYC005,redacted,10501,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
4156,PSYC005,redacted,10711,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4207,PSYC005,redacted,10640,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4317,PSYC005,redacted,10570,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,3,,2017,1,838
4355,PSYC005,redacted,10510,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4386,PSYC005,redacted,10522,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4407,PSYC005,redacted,10654,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4451,PSYC005,redacted,10624,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4516,PSYC005,redacted,10601,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4533,PSYC005,redacted,10466,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4587,PSYC005,redacted,10440,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4599,PSYC005,redacted,10531,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4651,PSYC005,redacted,10588,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
4663,PSYC005,redacted,10688,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,3,,2017,1,838
4688,PSYC005,redacted,10415,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
4767,PSYC005,redacted,10668,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,4,,2017,1,838
4813,PSYC005,redacted,10528,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
4880,PSYC005,redacted,10630,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
4892,PSYC005,redacted,10670,MPsych Advanced Psychology,redacted,person 096,4,3,4,,2017,1,838
4995,PSYC005,redacted,10600,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5033,PSYC005,redacted,10558,BSc (Hons) Psychology Stage 1,redacted,person 096,4,2,4,,2017,1,838
5097,PSYC005,redacted,10619,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5148,PSYC005,redacted,10434,BSc (Hons) Psychology Stage 1,redacted,person 096,4,3,4,,2017,1,838
5230,PSYC005,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,3,,2017,1,838
5265,PSYC005,redacted,10463,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5283,PSYC005,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5311,PSYC005,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
5323,PSYC005,redacted,10514,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5335,PSYC005,redacted,10594,MPsych Advanced Psychology,redacted,person 096,4,4,4,,2017,1,838
5368,PSYC005,redacted,10692,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5400,PSYC005,redacted,10667,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5412,PSYC005,redacted,10639,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5490,PSYC005,redacted,10638,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5519,PSYC005,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5531,PSYC005,redacted,10435,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,3,,2017,1,838
5543,PSYC005,redacted,10557,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5555,PSYC005,redacted,10672,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5612,PSYC005,redacted,10684,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5624,PSYC005,redacted,10433,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
5690,PSYC005,redacted,10625,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5710,PSYC005,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
5722,PSYC005,redacted,10750,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5734,PSYC005,redacted,10679,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5759,PSYC005,redacted,10490,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5778,PSYC005,redacted,10479,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5823,PSYC005,redacted,10776,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,4,,2017,1,838
5835,PSYC005,redacted,10526,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
5847,PSYC005,redacted,10459,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
5859,PSYC005,redacted,10563,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
5871,PSYC005,redacted,10683,BSc (Hons) Psychology Stage 1,redacted,person 096,3,4,4,,2017,1,838
5883,PSYC005,redacted,10617,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
5908,PSYC005,redacted,10428,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6001,PSYC005,redacted,10454,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6027,PSYC005,redacted,10547,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6046,PSYC005,redacted,10580,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6104,PSYC005,redacted,10710,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6116,PSYC005,redacted,10739,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6167,PSYC005,redacted,10461,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,4,,2017,1,838
6179,PSYC005,redacted,10666,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6203,PSYC005,redacted,10653,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,4,,2017,1,838
6215,PSYC005,redacted,10627,BSc (Hons) Psychology Stage 1,redacted,person 096,4,3,4,,2017,1,838
6235,PSYC005,redacted,10633,BSc (Hons) Psychology Stage 1,redacted,person 096,2,2,2,,2017,1,838
6247,PSYC005,redacted,10489,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6259,PSYC005,redacted,10754,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6310,PSYC005,redacted,10695,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
6379,PSYC005,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,person 096,4,3,4,,2017,1,838
6398,PSYC005,redacted,10560,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6410,PSYC005,redacted,10523,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,5,,2017,1,838
6447,PSYC005,redacted,10429,BSc (Hons) Psychology Stage 1,redacted,person 096,4,2,4,,2017,1,838
6509,PSYC005,redacted,10748,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6556,PSYC005,redacted,10441,MPsych Advanced Psychology,redacted,person 096,4,4,4,,2017,1,838
6568,PSYC005,redacted,10536,BSc (Hons) Psychology Stage 1,redacted,person 096,4,5,4,,2017,1,838
6580,PSYC005,redacted,10566,MPsych Advanced Psychology,redacted,person 096,4,4,5,,2017,1,838
6592,PSYC005,redacted,10621,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6663,PSYC005,redacted,10499,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6675,PSYC005,redacted,10714,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6707,PSYC005,redacted,10677,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6770,PSYC005,redacted,10763,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6782,PSYC005,redacted,10509,BSc (Hons) Psychology Stage 1,redacted,person 096,4,3,4,,2017,1,838
6815,PSYC005,redacted,10431,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6827,PSYC005,redacted,10573,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,4,,2017,1,838
6877,PSYC005,redacted,10658,BSc (Hons) Psychology Stage 1,redacted,person 096,3,4,4,,2017,1,838
6936,PSYC005,redacted,10537,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6940,PSYC005,redacted,10595,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
6965,PSYC005,redacted,10487,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
6977,PSYC005,redacted,10768,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
7015,PSYC005,redacted,10519,BSc (Hons) Psychology Stage 1,redacted,person 096,3,3,3,,2017,1,838
7039,PSYC005,redacted,10663,MPsych Advanced Psychology,redacted,person 096,4,3,4,,2017,1,838
7080,PSYC005,redacted,10468,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,4,,2017,1,838
7092,PSYC005,redacted,10744,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
7176,PSYC005,redacted,10636,MPsych Advanced Psychology,redacted,person 096,4,4,4,,2017,1,838
7225,PSYC005,redacted,10614,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
7309,PSYC005,redacted,10417,BSc (Hons) Psychology Stage 1,redacted,person 096,5,4,5,,2017,1,838
7334,PSYC005,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
7365,PSYC005,redacted,0,,redacted,person 096,4,2,4,,2017,1,838
7396,PSYC005,redacted,10518,BSc (Hons) Psychology Stage 1,redacted,person 096,2,3,3,,2017,1,838
7473,PSYC005,redacted,10517,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
7485,PSYC005,redacted,10553,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,3,,2017,1,838
7543,PSYC005,redacted,10712,BSc (Hons) Psychology Stage 1,redacted,person 096,5,5,5,,2017,1,838
7548,PSYC005,redacted,10604,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
7560,PSYC005,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
7572,PSYC005,redacted,10789,BSc (Hons) Psychology Stage 1,redacted,person 096,4,4,4,,2017,1,838
8447,PSYC561,redacted,9020,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
8471,PSYC561,redacted,9451,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
8481,PSYC561,redacted,9692,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 4,redacted,person 096,4,4,4,,2017,2,838
8510,PSYC561,redacted,9140,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
8582,PSYC561,redacted,8926,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
8590,PSYC561,redacted,9175,MPsych Advanced Psychology,redacted,person 096,5,5,5,,2017,2,838
8641,PSYC561,redacted,9500,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
8691,PSYC561,redacted,9079,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
8715,PSYC561,redacted,9052,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 4,redacted,person 096,5,4,4,,2017,2,838
8805,PSYC561,redacted,9497,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
8833,PSYC561,redacted,9053,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
8873,PSYC561,redacted,9730,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,5,,2017,2,838
8941,PSYC561,redacted,8951,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,5,,2017,2,838
8971,PSYC561,redacted,8970,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
9002,PSYC561,redacted,9143,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9053,PSYC561,redacted,9154,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9097,PSYC561,redacted,8927,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9195,PSYC561,redacted,10384,BSc (Hons) Psychology Stage 2,redacted,person 096,5,5,5,,2017,2,838
9253,PSYC561,redacted,9677,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9263,PSYC561,redacted,9448,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9273,PSYC561,redacted,9008,BSc (Hons) Psychology Stage 4,redacted,person 096,5,4,5,,2017,2,838
9303,PSYC561,redacted,9504,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
9313,PSYC561,redacted,9563,BSc (Hons) Psychology Stage 4,redacted,person 096,5,4,5,,2017,2,838
9323,PSYC561,redacted,9562,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
9429,PSYC561,redacted,9409,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
9453,PSYC561,redacted,8953,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9463,PSYC561,redacted,9247,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 4,redacted,person 096,4,5,5,,2017,2,838
9491,PSYC561,redacted,8886,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9686,PSYC561,redacted,9032,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9694,PSYC561,redacted,9005,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9810,PSYC561,redacted,9649,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
10055,PSYC561,redacted,9523,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
10194,PSYC561,redacted,9416,MPsych Advanced Psychology,redacted,person 096,4,2,4,,2017,2,838
10310,PSYC561,redacted,9418,BSc (Hons) Psychology Stage 4,redacted,person 096,4,5,4,,2017,2,838
10320,PSYC561,redacted,8997,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
10538,PSYC561,redacted,8963,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
10580,PSYC561,redacted,8924,BSc (Hons) Psychology Stage 4,redacted,person 096,5,4,4,,2017,2,838
10590,PSYC561,redacted,9497,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
10607,PSYC561,redacted,0,,redacted,person 096,5,5,5,,2017,2,838
8911,PSYC514,redacted,9730,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
8957,PSYC514,redacted,8951,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9019,PSYC514,redacted,9143,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9267,PSYC514,redacted,9448,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9433,PSYC514,redacted,9409,BSc (Hons) Psychology Stage 4,redacted,person 096,5,5,5,,2017,2,838
9814,PSYC514,redacted,9649,BSc (Hons) Psychology Stage 4,redacted,person 096,5,4,4,,2017,2,838
10594,PSYC514,redacted,9497,BSc (Hons) Psychology Stage 4,redacted,person 096,4,4,4,,2017,2,838
2406,PSYC953,redacted,10124,BSc (Hons) Psychology Stage 2,redacted,person 307,4,3,4,,2017,1,856
2419,PSYC953,redacted,10022,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2440,PSYC953,redacted,9940,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2469,PSYC953,redacted,10222,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2491,PSYC953,redacted,9175,MPsych Advanced Psychology,redacted,person 307,0,0,0,,2017,1,856
2504,PSYC953,redacted,9958,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2512,PSYC953,redacted,9981,BSc (Hons) Psychology Stage 2,redacted,person 307,4,3,4,,2017,1,856
2565,PSYC953,redacted,10101,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2593,PSYC953,redacted,10053,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2615,PSYC953,redacted,10009,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2623,PSYC953,redacted,9941,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2631,PSYC953,redacted,9964,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2655,PSYC953,redacted,10081,BSc (Hons) Psychology Stage 2,redacted,person 307,5,4,5,,2017,1,856
2673,PSYC953,redacted,10026,MPsych Advanced Psychology,redacted,person 307,1,1,1,,2017,1,856
2700,PSYC953,redacted,10033,MPsych Advanced Psychology,redacted,person 307,0,0,0,,2017,1,856
2727,PSYC953,redacted,10113,BSc (Hons) Psychology Stage 2,redacted,person 307,4,3,3,,2017,1,856
2746,PSYC953,redacted,10093,BSc (Hons) Psychology Stage 2,redacted,person 307,5,0,0,,2017,1,856
2754,PSYC953,redacted,10204,MPsych Advanced Psychology,redacted,person 307,5,5,5,,2017,1,856
2793,PSYC953,redacted,10095,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
2830,PSYC953,redacted,10134,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
2838,PSYC953,redacted,10154,MPsych Advanced Psychology,redacted,person 307,3,3,4,,2017,1,856
2859,PSYC953,redacted,9982,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2900,PSYC953,redacted,9931,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,5,5,5,,2017,1,856
2945,PSYC953,redacted,10223,BSc (Hons) Psychology Stage 2,redacted,person 307,3,3,3,,2017,1,856
2953,PSYC953,redacted,9935,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
2977,PSYC953,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,person 307,5,5,5,,2017,1,856
3001,PSYC953,redacted,10089,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3013,PSYC953,redacted,10012,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,2,3,3,,2017,1,856
3055,PSYC953,redacted,10090,MPsych Advanced Psychology,redacted,person 307,5,5,5,,2017,1,856
3063,PSYC953,redacted,9937,MPsych Advanced Psychology,redacted,person 307,4,4,4,,2017,1,856
3075,PSYC953,redacted,10131,BSc (Hons) Psychology Stage 2,redacted,person 307,4,3,4,,2017,1,856
3088,PSYC953,redacted,10678,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3106,PSYC953,redacted,10030,MPsych Advanced Psychology,redacted,person 307,5,5,5,,2017,1,856
3119,PSYC953,redacted,9997,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3127,PSYC953,redacted,9936,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3161,PSYC953,redacted,10102,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3169,PSYC953,redacted,9605,BSc (Hons) Psychology Stage 2,redacted,person 307,3,3,3,,2017,1,856
3212,PSYC953,redacted,10146,BSc (Hons) Psychology Stage 2,redacted,person 307,4,5,5,,2017,1,856
3224,PSYC953,redacted,9969,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3241,PSYC953,redacted,0,,redacted,person 307,4,4,4,,2017,1,856
3262,PSYC953,redacted,10002,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3276,PSYC953,redacted,10136,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,0,0,0,,2017,1,856
3304,PSYC953,redacted,10189,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3316,PSYC953,redacted,10007,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3328,PSYC953,redacted,9928,BSc (Hons) Psychology Stage 2,redacted,person 307,5,4,5,,2017,1,856
3388,PSYC953,redacted,10086,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3410,PSYC953,redacted,10096,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3422,PSYC953,redacted,9991,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3442,PSYC953,redacted,10050,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3480,PSYC953,redacted,10075,BSc (Hons) Psychology with Sociology Stage 2,redacted,person 307,5,5,5,,2017,1,856
3522,PSYC953,redacted,10015,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
3559,PSYC953,redacted,9927,BSc (Hons) Psychology with Human Biology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3571,PSYC953,redacted,9942,MPsych Advanced Psychology,redacted,person 307,0,0,0,,2017,1,856
3584,PSYC953,redacted,10188,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3669,PSYC953,redacted,9977,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3681,PSYC953,redacted,8609,BSc (Hons) Psychology Stage 2,redacted,person 307,2,2,2,,2017,1,856
3706,PSYC953,redacted,9925,MPsych Advanced Psychology,redacted,person 307,5,5,5,,2017,1,856
3760,PSYC953,redacted,10061,BSc (Hons) Psychology Stage 2,redacted,person 307,5,4,5,,2017,1,856
3781,PSYC953,redacted,10068,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
3798,PSYC953,redacted,10169,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3812,PSYC953,redacted,10079,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
3830,PSYC953,redacted,10023,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
3869,PSYC953,redacted,10056,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3894,PSYC953,redacted,10077,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,4,4,3,,2017,1,856
3906,PSYC953,redacted,9951,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3936,PSYC953,redacted,10037,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
3968,PSYC953,redacted,10073,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
3993,PSYC953,redacted,10127,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
4006,PSYC953,redacted,10164,BSc (Hons) Psychology Stage 2,redacted,person 307,0,0,0,,2017,1,856
4036,PSYC953,redacted,10013,BSc (Hons) Psychology Stage 2,redacted,person 307,3,3,3,,2017,1,856
4051,PSYC953,redacted,9926,BSc (Hons) Psychology Stage 2,redacted,person 307,4,3,4,,2017,1,856
4114,PSYC953,redacted,10004,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
4122,PSYC953,redacted,10138,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
4135,PSYC953,redacted,10159,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,0,0,0,,2017,1,856
4164,PSYC953,redacted,10042,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
4177,PSYC953,redacted,9972,BSc (Hons) Psychology Stage 2,redacted,person 307,3,3,3,,2017,1,856
4190,PSYC953,redacted,10107,MPsych Advanced Psychology,redacted,person 307,4,3,3,,2017,1,856
4215,PSYC953,redacted,10083,BSc (Hons) Psychology Stage 2,redacted,person 307,3,3,3,,2017,1,856
4228,PSYC953,redacted,9955,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,0,0,0,,2017,1,856
4240,PSYC953,redacted,10063,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
4275,PSYC953,redacted,10135,MPsych Advanced Psychology,redacted,person 307,4,3,4,,2017,1,856
4288,PSYC953,redacted,9995,BSc (Hons) Psychology Stage 2,redacted,person 307,5,5,5,,2017,1,856
4301,PSYC953,redacted,10166,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 2,redacted,person 307,4,2,4,,2017,1,856
4325,PSYC953,redacted,10065,BSc (Hons) Psychology Stage 2,redacted,person 307,2,2,3,,2017,1,856
4338,PSYC953,redacted,10216,MPsych Advanced Psychology,redacted,person 307,4,4,4,,2017,1,856
4363,PSYC953,redacted,10040,BSc (Hons) Psychology Stage 2,redacted,person 307,3,2,3,,2017,1,856
4395,PSYC953,redacted,10217,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
4432,PSYC953,redacted,10213,BSc (Hons) Psychology Stage 2,redacted,person 307,4,4,4,,2017,1,856
